...1,Subject.ID,grade,classroom,class,relig,Question,Category,Sequence,Response,Gender,egoID,Attitudes_BadMarks,Attitudes_Boys,Attitudes_Girls,Attitudes_GoodMarks,Attitudes_Hindus,Attitudes_Muslims,Attitudes_MyCaste,Attitudes_MyLang,Attitudes_OtherCaste,Attitudes_OtherLang,Attitudes_Poor,Attitudes_Rich,CasteForced_CasteForced,CasteOpen_CasteOpen,Gender_Gender,Identification_Caste,Identification_Gender,Identification_Language,Identification_Marks,Identification_Religion,Identification_School,Language_Language,ReligFreq_Celebrate,ReligFreq_Pray,ReligFreq_Read,ReligFreq_ReligiousPlace,Religion_Religion,Religiosity_Religiosity,ResourceAlloc_Friend,ResourceAlloc_Krishna,ResourceAlloc_Mohammed,SchoolHarmony_BoyGirl,SchoolHarmony_HinduMuslim,SchoolHarmony_InterCaste,SchoolHarmony_People,SchoolHarmony_RichPoor,Wellbeing_EnoughFriends,Wellbeing_Happy,Wellbeing_Lonely,Wellbeing_OthersMean,altGender,altRelig,altIDcaste,altIDgend,altIDlang,altIDmarks,altIDrelig,altIDschool,altReligCelebrate,altReligPray,altReligRead,altReligPlace,altReligiosity,altResourceFriend,altResourceHindu,altResourceMuslim,altHarmGender,altHarmRelig,altHarmCaste,altHarmPeople,altHarmSES,allWellFriends,altWellHappy,altWellLonely,altWellOthersMean,altAttBoys,altAttGirls,altAttHindu,altAttMuslim,ownGender,ownRelig,classID
892,B0607,6,B,6B,Muslim,Enemies,Enemy4,2,17,M,7,2,7,7,6,3,NA,6,7,6,5,2,7,7,NA,1,1,1,2,1,1,1,2,4,1,1,1,2,1,4,4,4,1,1,1,3,4,5,1,5,3,M,Muslim,NA,NA,NA,1,1,1,1,1,1,1,1,4,1,3,1,5,3,1,5,1,1,3,5,7,1,1,7,1,1,B6
893,B0607,6,B,6B,Muslim,Enemies,Enemy5,2,21,M,7,2,7,7,6,3,NA,6,7,6,5,2,7,7,NA,1,1,1,2,1,1,1,2,4,1,1,1,2,1,4,4,4,1,1,1,3,4,5,1,5,3,M,Muslim,2,2,1,1,1,1,2,1,1,1,1,4,4,4,NA,1,2,NA,1,1,1,3,3,6,6,5,7,1,1,B6
894,B0610,6,B,6B,Hindu,Enemies,Enemy1,2,5,M,10,2,7,1,7,6,1,6,6,5,6,5,6,2,NA,1,2,2,1,1,1,1,4,3,1,2,2,1,1,7,7,3,5,2,2,1,1,1,1,2,2,M,Muslim,1,4,1,1,1,3,4,2,1,3,1,4,3,4,2,1,1,2,1,5,2,5,1,NA,2,3,7,1,0,B6
895,B0610,6,B,6B,Hindu,Enemies,Enemy2,2,12,M,10,2,7,1,7,6,1,6,6,5,6,5,6,2,NA,1,2,2,1,1,1,1,4,3,1,2,2,1,1,7,7,3,5,2,2,1,1,1,1,2,2,M,Muslim,3,1,2,2,1,2,NA,2,1,1,1,4,1,7,5,1,3,2,1,2,1,3,4,7,1,1,7,1,0,B6
896,B0610,6,B,6B,Hindu,Enemies,Enemy3,2,18,M,10,2,7,1,7,6,1,6,6,5,6,5,6,2,NA,1,2,2,1,1,1,1,4,3,1,2,2,1,1,7,7,3,5,2,2,1,1,1,1,2,2,M,Muslim,1,NA,1,1,1,1,1,1,1,2,1,4,4,4,5,1,5,1,5,5,2,2,1,NA,NA,NA,NA,1,0,B6
897,B0610,6,B,6B,Hindu,Enemies,Enemy4,2,26,M,10,2,7,1,7,6,1,6,6,5,6,5,6,2,NA,1,2,2,1,1,1,1,4,3,1,2,2,1,1,7,7,3,5,2,2,1,1,1,1,2,2,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,B6
898,B0610,6,B,6B,Hindu,Enemies,Enemy5,2,27,M,10,2,7,1,7,6,1,6,6,5,6,5,6,2,NA,1,2,2,1,1,1,1,4,3,1,2,2,1,1,7,7,3,5,2,2,1,1,1,1,2,2,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,B6
899,B0611,6,B,6B,Hindu,Enemies,Enemy1,2,18,M,11,2,7,3,6,7,1,NA,7,4,5,NA,3,6,NA,1,1,2,1,1,1,1,4,2,1,1,2,1,1,7,4,5,2,3,2,2,1,1,1,2,4,M,Muslim,1,NA,1,1,1,1,1,1,1,2,1,4,4,4,5,1,5,1,5,5,2,2,1,NA,NA,NA,NA,1,0,B6
900,B0614,6,B,6B,Hindu,Enemies,Enemy1,2,8,M,14,6,7,4,7,7,2,6,7,5,6,6,5,2,NA,1,2,1,2,1,1,2,1,2,1,2,2,1,1,7,5,4,2,1,1,2,2,1,1,2,2,M,Muslim,2,2,1,1,1,1,2,1,2,1,3,4,4,3,2,2,1,1,1,1,1,3,3,7,5,3,7,1,0,B6
901,B0614,6,B,6B,Hindu,Enemies,Enemy2,2,12,M,14,6,7,4,7,7,2,6,7,5,6,6,5,2,NA,1,2,1,2,1,1,2,1,2,1,2,2,1,1,7,5,4,2,1,1,2,2,1,1,2,2,M,Muslim,3,1,2,2,1,2,NA,2,1,1,1,4,1,7,5,1,3,2,1,2,1,3,4,7,1,1,7,1,0,B6
